sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,5,0,0.9204485055407533,0.9416659305473098,0.8045454545454546,0.021217425006556545
synthetic_niah_86,niah_single_1,0,5,1,0.9757717228993158,0.9793792567782573,0.8727272727272727,0.0036075338789415268
synthetic_niah_86,niah_single_1,0,5,2,0.8591331444968731,0.8877613552750678,0.37272727272727274,0.028628210778194774
synthetic_niah_86,niah_single_1,0,5,3,0.958694413233705,0.9689384107560556,0.8681818181818182,0.010243997522350612
synthetic_niah_86,niah_single_1,0,5,4,0.9284008477565223,0.9749722891059698,0.35,0.04657144134944746
synthetic_niah_86,niah_single_1,0,5,5,0.9916460567001771,0.9946685521129426,0.8318181818181818,0.003022495412765447
synthetic_niah_86,niah_single_1,0,5,6,0.9439379458541991,0.9622070157891695,0.7045454545454546,0.01826906993497035
synthetic_niah_86,niah_single_1,0,5,7,0.9985845915267106,0.9991678293488327,0.8909090909090909,0.0005832378221221068
synthetic_niah_86,niah_single_1,0,6,0,0.9559197540372977,0.9699881556727271,0.44545454545454544,0.01406840163542944
synthetic_niah_86,niah_single_1,0,6,1,0.988715919162753,0.9919088581933622,0.6636363636363637,0.003192939030609132
synthetic_niah_86,niah_single_1,0,6,2,0.9056493417753725,0.9110408548217397,0.9090909090909091,0.005391513046367202
synthetic_niah_86,niah_single_1,0,6,3,0.9468216911349733,0.955692079342027,0.8227272727272728,0.00887038820705377
synthetic_niah_86,niah_single_1,0,6,4,0.975082192447969,0.9769966923218807,0.9227272727272727,0.0019144998739116792
synthetic_niah_86,niah_single_1,0,6,5,0.907938965415025,0.927821997817453,0.5727272727272728,0.019883032402428058
synthetic_niah_86,niah_single_1,0,6,6,0.9594046156665713,0.9622953826673254,0.8636363636363636,0.0028907670007540798
synthetic_niah_86,niah_single_1,0,6,7,0.9510174627793944,0.9551157684769579,0.8909090909090909,0.004098305697563531
synthetic_niah_86,niah_single_1,0,7,0,0.9887386801612622,0.9909561182476327,0.8636363636363636,0.002217438086370538
synthetic_niah_86,niah_single_1,0,7,1,0.9998273573642058,0.9998771373886142,0.7681818181818182,4.978002440836349e-05
synthetic_niah_86,niah_single_1,0,7,2,0.987907636030159,0.9905872028523587,0.8363636363636363,0.0026795668221997193
synthetic_niah_86,niah_single_1,0,7,3,0.9064368949073128,0.9144302598523955,0.8681818181818182,0.007993364945082626
synthetic_niah_86,niah_single_1,0,7,4,0.9968078856878214,0.9978039278067692,0.759090909090909,0.0009960421189477708
synthetic_niah_86,niah_single_1,0,7,5,0.9616691534212798,0.9668276402927637,0.5727272727272728,0.005158486871483903
